Sample,I,Q
798,5704,-4988
799,5660,-4952
800,5708,-4988
801,5692,-4988
802,5672,-4956
803,5736,-4972
804,5672,-4972
805,5688,-4968
806,5728,-4956
807,5668,-4952
808,5736,-4952
809,5732,-4952
810,5720,-4932
811,5756,-4940
812,5740,-4908
813,5732,-4940
814,5768,-4924
815,5756,-4892
816,5780,-4916
817,5784,-4904
818,5764,-4896
819,5836,-4908
820,5756,-4876
821,5824,-4900
822,5788,-4908
823,5780,-4916
824,5772,-4928
825,5796,-4896
826,5792,-4908
827,5780,-4892
828,5808,-4892
829,5804,-4868
830,5824,-4904
831,5788,-4884
832,5792,-4904
833,5812,-4896
834,5812,-4868
835,5804,-4884
836,5816,-4900
837,5844,-4856
838,5824,-4896
839,5816,-4880
840,5836,-4860
841,5828,-4892
842,5788,-4864
843,5860,-4896
844,5788,-4888
845,5788,-4884
846,5868,-4844
847,5804,-4876
848,5876,-4864
849,5840,-4860
850,5888,-4844
851,5880,-4820
852,5888,-4832
853,5888,-4828
854,5876,-4828
855,5912,-4812
856,5896,-4840
857,5904,-4812
858,5904,-4820
859,5904,-4836
860,5884,-4796
861,5912,-4852
862,5888,-4824
863,5920,-4808
864,5892,-4836
865,5892,-4820
866,5904,-4828
867,5880,-4816
868,5896,-4828
869,5868,-4864
870,5876,-4828
871,5864,-4832
872,5904,-4836
873,5844,-4828
874,5876,-4868
875,5832,-4828
876,5856,-4868
877,5868,-4856
878,5832,-4844
879,5864,-4880
880,5832,-4852
881,5864,-4884
882,5832,-4860
883,5848,-4872
884,5820,-4884
885,5812,-4876
886,5836,-4896
887,5792,-4868
888,5784,-4892
889,5800,-4896
890,5796,-4880
891,5792,-4896
892,5816,-4872
893,5816,-4880
894,5840,-4864
895,5820,-4868
896,5836,-4868
897,5872,-4848
898,5852,-4824
899,5884,-4860
900,5876,-4832
901,5872,-4844
902,5868,-4844
903,5896,-4816
904,5860,-4848
905,5876,-4828
906,5872,-4852
907,5868,-4824
908,5908,-4828
909,5860,-4836
910,5928,-4816
911,5876,-4820
912,5888,-4820
913,5884,-4816
914,5880,-4808
915,5896,-4832
916,5876,-4800
917,5924,-4824
918,5880,-4828
919,5900,-4824
920,5908,-4844
921,5916,-4760
922,5936,-4820
923,5904,-4784
924,5960,-4764
925,5940,-4796
926,5952,-4780
927,5976,-4760
928,5956,-4768
929,5984,-4772
930,5952,-4752
931,5992,-4768
932,5992,-4752
933,5976,-4744
934,5996,-4756
935,5976,-4752
936,6004,-4748
937,6040,-4732
938,5964,-4748
939,6008,-4764
940,6024,-4712
941,5984,-4740
942,6044,-4736
943,5984,-4736
944,6044,-4716
945,6016,-4744
946,6036,-4676
947,6064,-4736
948,6016,-4732
949,6032,-4708
950,6056,-4724
951,6052,-4676
952,6052,-4720
953,6092,-4680
954,6064,-4716
955,6056,-4656
956,6088,-4704
957,6064,-4672
958,6116,-4668
959,6100,-4672
960,6112,-4664
961,6148,-4636
962,6128,-4628
963,6164,-4644
964,6108,-4624
965,6136,-4664
966,6156,-4632
967,6148,-4608
968,6180,-4628
969,6136,-4596
970,6216,-4592
971,6164,-4616
972,6164,-4600
973,6216,-4588
974,6160,-4604
975,6240,-4560
976,6204,-4572
977,6244,-4588
978,6212,-4552
979,6220,-4596
980,6224,-4572
981,6188,-4584
982,6248,-4572
983,6196,-4560
984,6248,-4568
985,6216,-4556
986,6232,-4564
987,6260,-4556
988,6248,-4528
989,6288,-4532
990,6260,-4524
991,6288,-4552
992,6300,-4512
993,6272,-4536
994,6276,-4516
995,6328,-4508
996,6252,-4536
997,6296,-4540
998,6296,-4512
999,6300,-4512
1000,6296,-4524
1001,6300,-4500
1002,6316,-4488
1003,6292,-4492
1004,6340,-4504
1005,6328,-4460
1006,6332,-4512
1007,6344,-4476
1008,6332,-4480
1009,6336,-4484
1010,6336,-4460
1011,6320,-4524
1012,6336,-4440
1013,6344,-4460
1014,6356,-4460
1015,6344,-4468
1016,6360,-4452
1017,6392,-4456
1018,6336,-4460
1019,6360,-4448
1020,6364,-4484
1021,6384,-4440
1022,6388,-4432
1023,6404,-4444
1024,6388,-4416
1025,6376,-4452
1026,6436,-4400
1027,6384,-4428
1028,6428,-4424
1029,6444,-4384
1030,6392,-4428
1031,6472,-4396
1032,6420,-4396
1033,6472,-4384
1034,6460,-4396
1035,6444,-4368
1036,6492,-4384
1037,6448,-4356
1038,6460,-4392
1039,6460,-4352
1040,6456,-4368
1041,6472,-4400
1042,6460,-4328
1043,6468,-4400
1044,6480,-4336
1045,6460,-4360
1046,6500,-4344
1047,6492,-4352
1048,6492,-4356
1049,6540,-4308
1050,6496,-4392
1051,6528,-4276
1052,6540,-4340
1053,6492,-4324
1054,6544,-4300
1055,6508,-4356
1056,6516,-4292
1057,6516,-4364
1058,6496,-4324
1059,6516,-4320
1060,6500,-4324
1061,6536,-4324
1062,6528,-4328
1063,6492,-4328
1064,6544,-4332
1065,6536,-4316
1066,6540,-4316
1067,6564,-4284
1068,6528,-4328
1069,6532,-4320
1070,6540,-4292
1071,6532,-4336
1072,6564,-4280
1073,6544,-4328
1074,6568,-4268
1075,6540,-4284
1076,6576,-4324
1077,6572,-4240
1078,6588,-4296
1079,6564,-4260
1080,6604,-4268
1081,6596,-4268
1082,6564,-4252
1083,6648,-4256
1084,6548,-4256
1085,6620,-4252
1086,6592,-4264
1087,6588,-4256
1088,6592,-4268
1089,6584,-4288
1090,6604,-4260
1091,6560,-4296
1092,6616,-4244
1093,6588,-4272
1094,6572,-4280
1095,6616,-4236
1096,6564,-4284
1097,6604,-4260
1098,6612,-4260
1099,6572,-4264
1100,6668,-4240
1101,6548,-4260
1102,6636,-4248
1103,6620,-4256
1104,6564,-4240
1105,6636,-4244
1106,6592,-4276
1107,6632,-4200
1108,6632,-4252
1109,6632,-4204
1110,6664,-4220
1111,6612,-4228
1112,6664,-4188
1113,6680,-4212
1114,6616,-4180
1115,6680,-4228
1116,6632,-4180
1117,6688,-4184
1118,6692,-4204
1119,6644,-4164
1120,6716,-4200
1121,6688,-4148
1122,6672,-4196
1123,6708,-4188
1124,6676,-4124
1125,6716,-4200
1126,6708,-4156
1127,6700,-4164
1128,6716,-4172
1129,6692,-4156
1130,6720,-4164
1131,6716,-4148
1132,6700,-4148
1133,6740,-4144
1134,6708,-4152
1135,6700,-4144
1136,6740,-4164
1137,6688,-4172
1138,6712,-4156
1139,6724,-4180
1140,6716,-4164
1141,6716,-4148
1142,6736,-4148
1143,6680,-4144
1144,6708,-4188
1145,6724,-4152
1146,6680,-4132
1147,6736,-4184
1148,6688,-4120
1149,6740,-4140
1150,6764,-4160
1151,6692,-4100
1152,6760,-4148
1153,6716,-4136
1154,6724,-4136
1155,6768,-4108
1156,6712,-4144
1157,6756,-4116
1158,6736,-4120
1159,6768,-4148
1160,6748,-4104
1161,6748,-4136
1162,6772,-4112
1163,6780,-4096
1164,6764,-4140
1165,6748,-4096
1166,6764,-4124
1167,6764,-4112
1168,6764,-4088
1169,6768,-4112
1170,6776,-4076
1171,6772,-4100
1172,6792,-4068
1173,6768,-4104
1174,6804,-4064
1175,6768,-4112
1176,6788,-4108
1177,6792,-4072
1178,6788,-4088
1179,6772,-4112
1180,6772,-4092
1181,6788,-4104
1182,6764,-4092
1183,6820,-4072
1184,6776,-4088
1185,6816,-4080
1186,6788,-4080
1187,6768,-4076
1188,6844,-4088
1189,6748,-4088
1190,6812,-4084
1191,6796,-4088
1192,6800,-4056
1193,6832,-4064
1194,6780,-4068
1195,6836,-4024
1196,6824,-4100
1197,6840,-4020
1198,6856,-4028
1199,6864,-4056
1200,6820,-4000
1201,6848,-4064
1202,6832,-4012
1203,6828,-4028
1204,6872,-4032
1205,6824,-4008
1206,6868,-4052
1207,6852,-3996
1208,6828,-4036
1209,6880,-4028
1210,6868,-4004
1211,6872,-4004
1212,6916,-3976
1213,6872,-4020
1214,6888,-3956
1215,6904,-4004
1216,6868,-4000
1217,6904,-3972
1218,6908,-3992
1219,6916,-3956
1220,6904,-3972
1221,6912,-3968
1222,6916,-3932
1223,6924,-3948
1224,6928,-3972
1225,6904,-3924
1226,6944,-3948
1227,6940,-3948
1228,6916,-3956
1229,6952,-3916
1230,6948,-3936
1231,6940,-3952
1232,6972,-3924
1233,6964,-3928
1234,6924,-3940
1235,6948,-3916
1236,6956,-3892
1237,6956,-3952
1238,6960,-3896
1239,6964,-3940
1240,6948,-3892
1241,6992,-3896
1242,6972,-3908
1243,6960,-3900
1244,6980,-3904
1245,6976,-3892
1246,6968,-3912
1247,6972,-3888
1248,6988,-3916
1249,6988,-3892
1250,6964,-3896
1251,6980,-3908
1252,6980,-3876
1253,6992,-3896
1254,6996,-3892
1255,6964,-3884
1256,7020,-3884
1257,6972,-3872
1258,7036,-3876
1259,6996,-3860
1260,6976,-3892
1261,7008,-3876
1262,6988,-3852
1263,7028,-3856
1264,7012,-3860
1265,7020,-3860
1266,7004,-3880
1267,6972,-3872
1268,7032,-3892
1269,7000,-3856
1270,7012,-3860
1271,7032,-3884
1272,6996,-3840
1273,7024,-3872
1274,7024,-3832
1275,7020,-3860
1276,7012,-3864
1277,7060,-3840
1278,7028,-3852
1279,7040,-3828
1280,7020,-3864
1281,7008,-3864
1282,7036,-3840
1283,7004,-3852
1284,7048,-3824
1285,7044,-3824
1286,7060,-3832
1287,7060,-3816
1288,7040,-3812
1289,7076,-3812
1290,7068,-3792
1291,7060,-3824
1292,7072,-3772
1293,7080,-3780
1294,7088,-3808
1295,7096,-3788
1296,7088,-3796
1297,7104,-3760
1298,7124,-3752
1299,7088,-3764
1300,7100,-3788
1301,7108,-3752
1302,7128,-3748
1303,7136,-3720
1304,7132,-3736
1305,7132,-3712
1306,7124,-3756
1307,7152,-3768
1308,7136,-3680
1309,7164,-3756
1310,7156,-3680
1311,7152,-3720
1312,7176,-3708
1313,7160,-3688
1314,7168,-3724
1315,7172,-3660
1316,7168,-3740
1317,7188,-3644
1318,7216,-3672
1319,7176,-3672
1320,7212,-3636
1321,7208,-3684
1322,7196,-3648
